Data,Generacja prądu kWh
"Monday, January 1, 2024",0
"Tuesday, January 2, 2024",0
"Wednesday, January 3, 2024",0
"Thursday, January 4, 2024",0
"Friday, January 5, 2024",0
"Saturday, January 6, 2024",0
"Sunday, January 7, 2024",0
"Monday, January 8, 2024",0
"Tuesday, January 9, 2024",0
"Wednesday, January 10, 2024",0
"Thursday, January 11, 2024",0
"Friday, January 12, 2024",0
"Saturday, January 13, 2024",0
"Sunday, January 14, 2024",0
"Monday, January 15, 2024",0
"Tuesday, January 16, 2024",0
"Wednesday, January 17, 2024",0
"Thursday, January 18, 2024",0
"Friday, January 19, 2024",0
"Saturday, January 20, 2024",0
"Sunday, January 21, 2024",0
"Monday, January 22, 2024",0
"Tuesday, January 23, 2024",0
"Wednesday, January 24, 2024",0
"Thursday, January 25, 2024",0
"Friday, January 26, 2024",0
"Saturday, January 27, 2024",0
"Sunday, January 28, 2024",0
"Monday, January 29, 2024",0
"Tuesday, January 30, 2024",0
"Wednesday, January 31, 2024",0
"Thursday, February 1, 2024",0
"Friday, February 2, 2024",0
"Saturday, February 3, 2024",0
"Sunday, February 4, 2024",0
"Monday, February 5, 2024",0
"Tuesday, February 6, 2024",0
"Wednesday, February 7, 2024",0
"Thursday, February 8, 2024",0
"Friday, February 9, 2024",0
"Saturday, February 10, 2024",0
"Sunday, February 11, 2024",0
"Monday, February 12, 2024",0
"Tuesday, February 13, 2024",2.59
"Wednesday, February 14, 2024",5.3
"Thursday, February 15, 2024",3.54
"Friday, February 16, 2024",5.37
"Saturday, February 17, 2024",1.5
"Sunday, February 18, 2024",5.9
"Monday, February 19, 2024",0
"Tuesday, February 20, 2024",0
"Wednesday, February 21, 2024",0
"Thursday, February 22, 2024",0
"Friday, February 23, 2024",0
"Saturday, February 24, 2024",0
"Sunday, February 25, 2024",0
"Monday, February 26, 2024",0
"Tuesday, February 27, 2024",0
"Wednesday, February 28, 2024",0
"Thursday, February 29, 2024",0
"Friday, March 1, 2024",0
"Saturday, March 2, 2024",0
"Sunday, March 3, 2024",0
"Monday, March 4, 2024",0
"Tuesday, March 5, 2024",0
"Wednesday, March 6, 2024",0
"Thursday, March 7, 2024",0
"Friday, March 8, 2024",0
"Saturday, March 9, 2024",0
"Sunday, March 10, 2024",0
"Monday, March 11, 2024",0
"Tuesday, March 12, 2024",0
"Wednesday, March 13, 2024",0
"Thursday, March 14, 2024",0
"Friday, March 15, 2024",0
"Saturday, March 16, 2024",0
"Sunday, March 17, 2024",0
"Monday, March 18, 2024",0
"Tuesday, March 19, 2024",0
"Wednesday, March 20, 2024",0
"Thursday, March 21, 2024",0
"Friday, March 22, 2024",0
"Saturday, March 23, 2024",0
"Sunday, March 24, 2024",0
"Monday, March 25, 2024",0
"Tuesday, March 26, 2024",0
"Wednesday, March 27, 2024",0
"Thursday, March 28, 2024",0
"Friday, March 29, 2024",0
"Saturday, March 30, 2024",0
"Sunday, March 31, 2024",0
"Monday, April 1, 2024",0
"Tuesday, April 2, 2024",0
"Wednesday, April 3, 2024",0
"Thursday, April 4, 2024",0
"Friday, April 5, 2024",0
"Saturday, April 6, 2024",0
"Sunday, April 7, 2024",0
"Monday, April 8, 2024",0
"Tuesday, April 9, 2024",0
"Wednesday, April 10, 2024",0
"Thursday, April 11, 2024",0
"Friday, April 12, 2024",0
"Saturday, April 13, 2024",0
"Sunday, April 14, 2024",0
"Monday, April 15, 2024",0
"Tuesday, April 16, 2024",0
"Wednesday, April 17, 2024",0
"Thursday, April 18, 2024",0
"Friday, April 19, 2024",0
"Saturday, April 20, 2024",0
"Sunday, April 21, 2024",0
"Monday, April 22, 2024",0
"Tuesday, April 23, 2024",0
"Wednesday, April 24, 2024",0
"Thursday, April 25, 2024",0
"Friday, April 26, 2024",0
"Saturday, April 27, 2024",0
"Sunday, April 28, 2024",0
"Monday, April 29, 2024",0
"Tuesday, April 30, 2024",0
"Wednesday, May 1, 2024",23.7
"Thursday, May 2, 2024",20.39
"Friday, May 3, 2024",21.13
"Saturday, May 4, 2024",23.25
"Sunday, May 5, 2024",20.75
"Monday, May 6, 2024",16.22
"Tuesday, May 7, 2024",18.9
"Wednesday, May 8, 2024",24.75
"Thursday, May 9, 2024",25.68
"Friday, May 10, 2024",14.41
"Saturday, May 11, 2024",17.22
"Sunday, May 12, 2024",26.74
"Monday, May 13, 2024",26.59
"Tuesday, May 14, 2024",20.59
"Wednesday, May 15, 2024",26.7
"Thursday, May 16, 2024",27.81
"Friday, May 17, 2024",27.06
"Saturday, May 18, 2024",23.42
"Sunday, May 19, 2024",22.11
"Monday, May 20, 2024",20.77
"Tuesday, May 21, 2024",25.87
"Wednesday, May 22, 2024",19.57
"Thursday, May 23, 2024",7.98
"Friday, May 24, 2024",24.97
"Saturday, May 25, 2024",20.46
"Sunday, May 26, 2024",24.26
"Monday, May 27, 2024",28.01
"Tuesday, May 28, 2024",18.51
"Wednesday, May 29, 2024",17.57
"Thursday, May 30, 2024",22.76
"Friday, May 31, 2024",19.02
"Saturday, June 1, 2024",15.23
"Sunday, June 2, 2024",19.51
"Monday, June 3, 2024",21.28
"Tuesday, June 4, 2024",10.8
"Wednesday, June 5, 2024",26.53
"Thursday, June 6, 2024",24.26
"Friday, June 7, 2024",22.31
"Saturday, June 8, 2024",27.9
"Sunday, June 9, 2024",26.6
"Monday, June 10, 2024",15.68
"Tuesday, June 11, 2024",24.45
"Wednesday, June 12, 2024",19.03
"Thursday, June 13, 2024",12.55
"Friday, June 14, 2024",18.24
"Saturday, June 15, 2024",27.58
"Sunday, June 16, 2024",19.19
"Monday, June 17, 2024",28.52
"Tuesday, June 18, 2024",21.94
"Wednesday, June 19, 2024",20.83
"Thursday, June 20, 2024",25.8
"Friday, June 21, 2024",26.9
"Saturday, June 22, 2024",16.73
"Sunday, June 23, 2024",22.78
"Monday, June 24, 2024",14.81
"Tuesday, June 25, 2024",22.86
"Wednesday, June 26, 2024",25.76
"Thursday, June 27, 2024",23.5
"Friday, June 28, 2024",17.87
"Saturday, June 29, 2024",27.51
"Sunday, June 30, 2024",22.66
"Monday, July 1, 2024",14.82
"Tuesday, July 2, 2024",14.95
"Wednesday, July 3, 2024",11.92
"Thursday, July 4, 2024",15.87
"Friday, July 5, 2024",27.48
"Saturday, July 6, 2024",22.75
"Sunday, July 7, 2024",8.67
"Monday, July 8, 2024",21.74
"Tuesday, July 9, 2024",23.04
"Wednesday, July 10, 2024",23.95
"Thursday, July 11, 2024",20.39
"Friday, July 12, 2024",22.49
"Saturday, July 13, 2024",25.41
"Sunday, July 14, 2024",21.44
"Monday, July 15, 2024",20.45
"Tuesday, July 16, 2024",19
"Wednesday, July 17, 2024",16.26
"Thursday, July 18, 2024",23.76
"Friday, July 19, 2024",25.82
"Saturday, July 20, 2024",21.42
"Sunday, July 21, 2024",25.58
"Monday, July 22, 2024",20.05
"Tuesday, July 23, 2024",25.34
"Wednesday, July 24, 2024",16.17
"Thursday, July 25, 2024",9.45
"Friday, July 26, 2024",22.99
"Saturday, July 27, 2024",16.83
"Sunday, July 28, 2024",9.31
"Monday, July 29, 2024",20.44
"Tuesday, July 30, 2024",22.46
"Wednesday, July 31, 2024",24.41
"Thursday, August 1, 2024",22.8
"Friday, August 2, 2024",15.79
"Saturday, August 3, 2024",15.69
"Sunday, August 4, 2024",14.89
"Monday, August 5, 2024",8.15
"Tuesday, August 6, 2024",12.8
"Wednesday, August 7, 2024",16.68
"Thursday, August 8, 2024",9.63
"Friday, August 9, 2024",22.32
"Saturday, August 10, 2024",20.59
"Sunday, August 11, 2024",17.48
"Monday, August 12, 2024",22.5
"Tuesday, August 13, 2024",22.16
"Wednesday, August 14, 2024",21.87
"Thursday, August 15, 2024",18.47
"Friday, August 16, 2024",17
"Saturday, August 17, 2024",15.56
"Sunday, August 18, 2024",13.1
"Monday, August 19, 2024",11.5
"Tuesday, August 20, 2024",5.48
"Wednesday, August 21, 2024",7.02
"Thursday, August 22, 2024",10.89
"Friday, August 23, 2024",15.37
"Saturday, August 24, 2024",17.41
"Sunday, August 25, 2024",14.58
"Monday, August 26, 2024",13.1
"Tuesday, August 27, 2024",16.92
"Wednesday, August 28, 2024",15.97
"Thursday, August 29, 2024",15.26
"Friday, August 30, 2024",14.46
"Saturday, August 31, 2024",10
"Sunday, September 1, 2024",14.85
"Monday, September 2, 2024",14.15
"Tuesday, September 3, 2024",14.24
"Wednesday, September 4, 2024",13.51
"Thursday, September 5, 2024",14
"Friday, September 6, 2024",14.19
"Saturday, September 7, 2024",13.29
"Sunday, September 8, 2024",12.98
"Monday, September 9, 2024",7.5
"Tuesday, September 10, 2024",6.32
"Wednesday, September 11, 2024",12.57
"Thursday, September 12, 2024",9.69
"Friday, September 13, 2024",4.72
"Saturday, September 14, 2024",2.37
"Sunday, September 15, 2024",9.53
"Monday, September 16, 2024",11.2
"Tuesday, September 17, 2024",10.48
"Wednesday, September 18, 2024",10.19
"Thursday, September 19, 2024",10.46
"Friday, September 20, 2024",10.32
"Saturday, September 21, 2024",9.58
"Sunday, September 22, 2024",8.64
"Monday, September 23, 2024",9.44
"Tuesday, September 24, 2024",9.86
"Wednesday, September 25, 2024",8.82
"Thursday, September 26, 2024",6.51
"Friday, September 27, 2024",8.39
"Saturday, September 28, 2024",6.74
"Sunday, September 29, 2024",9.15
"Monday, September 30, 2024",9.37
"Tuesday, October 1, 2024",8.62
"Wednesday, October 2, 2024",5.33
"Thursday, October 3, 2024",2.69
"Friday, October 4, 2024",2.93
"Saturday, October 5, 2024",3.56
"Sunday, October 6, 2024",3.54
"Monday, October 7, 2024",3.22
"Tuesday, October 8, 2024",6.11
"Wednesday, October 9, 2024",3.24
"Thursday, October 10, 2024",7.55
"Friday, October 11, 2024",7.14
"Saturday, October 12, 2024",6.24
"Sunday, October 13, 2024",1.71
"Monday, October 14, 2024",2.42
"Tuesday, October 15, 2024",4.69
"Wednesday, October 16, 2024",6.8
"Thursday, October 17, 2024",6.39
"Friday, October 18, 2024",6.16
"Saturday, October 19, 2024",5.98
"Sunday, October 20, 2024",6.25
"Monday, October 21, 2024",5.41
"Tuesday, October 22, 2024",5.37
"Wednesday, October 23, 2024",5.06
"Thursday, October 24, 2024",4.01
"Friday, October 25, 2024",4.09
"Saturday, October 26, 2024",5.39
"Sunday, October 27, 2024",4.91
"Monday, October 28, 2024",4.36
"Tuesday, October 29, 2024",1.14
"Wednesday, October 30, 2024",2.55
"Thursday, October 31, 2024",3.28
"Friday, November 1, 2024",3.34
"Saturday, November 2, 2024",4.26
"Sunday, November 3, 2024",3.64
"Monday, November 4, 2024",3.95
"Tuesday, November 5, 2024",3.8
"Wednesday, November 6, 2024",3.7
"Thursday, November 7, 2024",0.68
"Friday, November 8, 2024",0.74
"Saturday, November 9, 2024",0.61
"Sunday, November 10, 2024",1.81
"Monday, November 11, 2024",0.88
"Tuesday, November 12, 2024",0.47
"Wednesday, November 13, 2024",0.51
"Thursday, November 14, 2024",1.9
"Friday, November 15, 2024",2.37
"Saturday, November 16, 2024",1.22
"Sunday, November 17, 2024",1.44
"Monday, November 18, 2024",2.18
"Tuesday, November 19, 2024",1.99
"Wednesday, November 20, 2024",0.85
"Thursday, November 21, 2024",1.3
"Friday, November 22, 2024",0.1
"Saturday, November 23, 2024",0.24
"Sunday, November 24, 2024",0.54
"Monday, November 25, 2024",2.27
"Tuesday, November 26, 2024",2.14
"Wednesday, November 27, 2024",1.52
"Thursday, November 28, 2024",0.38
"Friday, November 29, 2024",0.27
"Saturday, November 30, 2024",1.07
"Sunday, December 1, 2024",0.69
"Monday, December 2, 2024",1.82
"Tuesday, December 3, 2024",1.49
"Wednesday, December 4, 2024",0.69
"Thursday, December 5, 2024",1.69
"Friday, December 6, 2024",1.08
"Saturday, December 7, 2024",1.02
"Sunday, December 8, 2024",0.89
"Monday, December 9, 2024",0.35
"Tuesday, December 10, 2024",0.22
"Wednesday, December 11, 2024",0.76
"Thursday, December 12, 2024",1.65
"Friday, December 13, 2024",1.53
"Saturday, December 14, 2024",0.21
"Sunday, December 15, 2024",1.4
"Monday, December 16, 2024",0.23
"Tuesday, December 17, 2024",0.35
"Wednesday, December 18, 2024",1.57
"Thursday, December 19, 2024",1.55
"Friday, December 20, 2024",1.31
"Saturday, December 21, 2024",1.68
"Sunday, December 22, 2024",1.13
"Monday, December 23, 2024",1.42
"Tuesday, December 24, 2024",1.31
"Wednesday, December 25, 2024",1.54
"Thursday, December 26, 2024",1.54
"Friday, December 27, 2024",0.87
"Saturday, December 28, 2024",0.35
"Sunday, December 29, 2024",1.67
"Monday, December 30, 2024",0.14
"Tuesday, December 31, 2024",0.89
